Label,khaiii_text
4,주민 되 들어가 어차피 전입 신고 컴퓨터 하 있 수강 신청 동부 그렇 하 웅 온라인 열 같 온라인 안 하 그냥 못 하
4,다 택시 타 오 하 시내 오 반 예상 그때 동안 화장 지 외국인 타 암 내 진 짜 일 아진 머슴 다 웃기 향수 뿌 림 곧 내리 조금 참 구 때 오랜만 카톡 작년 주야 장천 같 대구 주 하 개뿔 가 발악 빼 엑 맞 담 주 보 노 마 이정도 오랜만 대 구 우정
4,고양 너무 귀엽 고양 작 콧구멍 숨 쉬 맞 작 콧구멍 진짜 또 곰 하 콧구멍 고양 작 방 걸 다님
4,방 들어가 알 매트리스 사 원래 사실 오늘 가 비 오 캔 슬 내일 가 내일 진짜 영영 떠나
4,출발 때 전화 하 엥 쉽 듣 이제 보 융 밥 먹 캐치 오 음 아직 모르 오호 짐 두 오 갖 가 흠 일 단 기 짐 챙기 가 밥 먹 갈 아직 미정 일 단 짐 두 나오 낫 줸 유 가 되 다 같이 그대로 가 가 되 짐 챙기 나오 대 넹쓰 정문 지나 전화 주세
4,제거 후 사진 이제 드 라 이 말리 와우 성공 그치 지금 선풍기 틀 말리 잇 엌 연봉 파이팅 파이팅 오 전후 사진 보시길 우 짱 이 잘 하 오늘 하루 바치 여 봉 가 최고 연봉 진짜 진짜 개짱 하 헷 이제 쉬 야
4,인 나오 아 갤럭시 곡 돈 쪼들쪼들 인정 고민 고맙 니당 호호 내 비싸 지 혼나기 개 웃기 백수 주제 비싸 노니 하
4,이제 남 경기 다 이기 하 명절 절 희망 오늘 이기 랑 하 그러 웃 늘 설마 잡히 남 다 잡 한 전 못 잡 맘 뜨 놓 배거 내일 콧물 오늘 집 달리 그렇
4,팔 건조 팔 괜찮 안 괜찮 팔 좀 건조 왜 다리 건조 안대 다리 치마 입 다리 건조 가 지러 긁 나쁘 안대
4,신지모루 물어 사진 보내 잘못 맞 새거 보내 댕 잘못 맞 필름 오 때 조심 오늘 왜 이렇 춥 발 시리 스타킹 신구 양말 시 아 조심 무섭 브 라운 타이즈 델리 산고 압박 타이즈 같 엄청 응 엄청 따수웡 신 후회 이제 타 이즈 신어 되 방 예전 겨울 얇 스타킹 신 나이 먹 그렇 너무 슬프 미치 강화 유리 새 보 내 댕
4,공개 떠 얼굴 작 나오 언론 공개 와 빼 박 김학 하 얼굴 어떻 들 다니 공개 언론사 소 솔직히 영상 공개 전 김학의 다 알 제발 처벌 받 어떻 하 되 이제 영상 얼굴 보이 정말 싫 거 똑같 내부자 저렇 인간 애 법 다루 이유
4,대표 오늘 등산 안 가 날 등산 안 가 또 안 가 가 말 하 이제 퇴 근임 대표 등산 안 가 붙잡 보 네 그렇 보 퇴근 엄청 늦 오늘 같 으 날 대표 등산 가 맘 편하 안 가 너무 힘들
4,과일 먹 과일 사 살 없 토마토 박스 장난 하나 과일 없
